satellite,storm_date,mean_drag_acc,method,opt_window_min,opt_sigma,opt_r_native,auc_r_native
CHAMP,2001-03-31,1.3898736168582797e-06,EDR,30.0,0.1469559806549638,0.9733412345599444,
CHAMP,2001-03-31,1.3898736168582797e-06,POD,20.0,0.241466988025715,0.9776868165833714,
CHAMP,2001-04-08,1.3424392940125385e-06,EDR,45.0,0.1023630734460471,0.9218634511322316,0.23488259369293804
CHAMP,2001-04-08,1.3424392940125385e-06,POD,45.0,0.1069320430394482,0.9164772691204618,0.23046654418546517
CHAMP,2001-04-18,1.220809661842759e-06,EDR,45.0,0.1848750145583324,0.8742638639347281,0.33123225258103395
CHAMP,2001-04-18,1.220809661842759e-06,POD,45.0,0.2955648519619405,0.8549911430993842,0.3142285668931921
CHAMP,2001-08-17,1.0207372381118723e-06,EDR,45.0,0.2586184685180783,0.8855569686108512,0.3804208621629515
CHAMP,2001-08-17,1.0207372381118723e-06,POD,45.0,0.228439515366438,0.841383251212138,0.37651772777689385
CHAMP,2001-09-25,1.194019835438908e-06,EDR,45.0,0.0712802869248673,0.8577341030913365,0.37415316117802205
CHAMP,2001-09-25,1.194019835438908e-06,POD,45.0,0.1042917372514424,0.8251776211718082,0.3452545847746401
CHAMP,2001-10-02,1.1679962703218809e-06,EDR,45.0,0.081385975534098,0.8237423685626463,0.625010722514823
CHAMP,2001-10-02,1.1679962703218809e-06,POD,45.0,0.1105715047248047,0.8122555447363394,0.6138795989107344
CHAMP,2001-10-21,1.312535629956518e-06,EDR,30.0,0.1292300001712145,0.8649417931580823,0.6406289947427969
CHAMP,2001-10-21,1.312535629956518e-06,POD,30.0,0.1240085402068498,0.8456451641076019,0.6289036688130133
CHAMP,2001-10-28,1.2919876777220242e-06,EDR,45.0,0.0653557747468246,0.8741866453537218,0.5766697333062436
CHAMP,2001-10-28,1.2919876777220242e-06,POD,45.0,0.0861276739020709,0.8078637322486846,0.5499388712377253
CHAMP,2001-11-06,1.2476920898932614e-06,EDR,30.0,0.1281884632146284,0.9143988046845088,0.7153979577240733
CHAMP,2001-11-06,1.2476920898932614e-06,POD,30.0,0.1365341617033114,0.9083091653475048,0.7122773522905355
CHAMP,2001-11-24,1.2257291995742398e-06,EDR,30.0,0.1025800000887122,0.7849403103675381,0.5955715901858917
CHAMP,2001-11-24,1.2257291995742398e-06,POD,30.0,0.1113397735360132,0.7547342806926943,0.597749467120928
CHAMP,2002-04-17,1.4413163621873151e-06,EDR,30.0,0.1140333858842168,0.8154135582771835,0.5738621604978867
CHAMP,2002-04-17,1.4413163621873151e-06,POD,30.0,0.1324835286658525,0.7924146847767156,0.5575467733764545
CHAMP,2002-05-11,1.4173740426697714e-06,EDR,30.0,0.1503290085256206,0.951018180357902,0.36485327899644904
CHAMP,2002-05-11,1.4173740426697714e-06,POD,30.0,0.1598364275236954,0.9524495736470758,0.36302753307345487
CHAMP,2002-05-23,1.3433733978124269e-06,EDR,30.0,0.2536363736775338,0.9441173491216964,0.3643620031378022
CHAMP,2002-05-23,1.3433733978124269e-06,POD,30.0,0.255505716098332,0.9429078986831058,0.36274533912484946
CHAMP,2002-09-07,1.4744789034750496e-06,EDR,30.0,0.1428775419108453,0.9040003638450776,0.537151091901069
CHAMP,2002-09-07,1.4744789034750496e-06,POD,30.0,0.1460717367470346,0.8965065303697705,0.5306194366076444
CHAMP,2003-05-29,9.610925395623252e-07,EDR,45.0,0.1172553005108317,0.897922535915207,0.6350908770242629
CHAMP,2003-05-29,9.610925395623252e-07,POD,30.0,0.2976733990704739,0.8934759770974635,0.6327431313568002
CHAMP,2003-11-18,1.2035179577104298e-06,EDR,30.0,0.1753238792830096,0.951339546796485,0.8865618252909729
CHAMP,2003-11-18,1.2035179577104298e-06,POD,30.0,0.2172449318367675,0.9349615883083204,0.8785749381728919
CHAMP,2003-11-20,1.1695579067844008e-06,EDR,30.0,0.1833275940638882,0.9265644986390728,0.8687762071126367
CHAMP,2003-11-20,1.1695579067844008e-06,POD,30.0,0.213515761870755,0.92416040398494,0.8674266317498661
CHAMP,2004-07-25,1.1775856288195748e-06,EDR,30.0,0.4714174951704919,0.923809503678696,0.8127502326241078
CHAMP,2004-07-25,1.1775856288195748e-06,POD,30.0,0.4670979147739678,0.923557332451887,0.811321113883844
CHAMP,2004-07-27,1.1775856288195748e-06,EDR,30.0,0.4714174951704919,0.923809503678696,0.8202936265274917
CHAMP,2004-07-27,1.1775856288195748e-06,POD,30.0,0.4670979147739678,0.923557332451887,0.8188617621458067
CHAMP,2004-11-07,1.4472676737257698e-06,EDR,30.0,0.1617854553889559,0.9049658659418894,0.7728838964620501
CHAMP,2004-11-07,1.4472676737257698e-06,POD,30.0,0.2156085549994039,0.7750547912408344,0.70112149784376
CHAMP,2004-11-08,1.4472676737257698e-06,EDR,30.0,0.1617854553889559,0.9049658659418894,0.7728838964620501
CHAMP,2004-11-08,1.4472676737257698e-06,POD,30.0,0.2156085549994039,0.7750547912408344,0.70112149784376
CHAMP,2005-01-07,1.212397294847554e-06,EDR,210.0,0.0422968510399517,0.8563555325148243,0.8026768356314694
CHAMP,2005-01-07,1.212397294847554e-06,POD,210.0,0.0499941480623825,0.8539705607043641,0.7993678457952278
CHAMP,2005-01-18,1.2763304420977506e-06,EDR,30.0,0.1471005272464955,0.8405917743966864,0.7684565453016122
CHAMP,2005-01-18,1.2763304420977506e-06,POD,30.0,0.1811381748799974,0.8314262537303615,0.7619511682587797
CHAMP,2005-08-24,1.4083463609733918e-06,EDR,30.0,0.1816989626040129,0.9113443836234446,0.5706494451031152
CHAMP,2005-08-24,1.4083463609733918e-06,POD,30.0,0.2556327699572525,0.9155299239955148,0.5660937679610006
GRACE-FO-A,2019-05-14,1.462081011022682e-07,EDR,240.0,0.5881611224119635,0.5701190797433469,0.2008202057307161
GRACE-FO-A,2019-05-14,1.462081011022682e-07,POD,240.0,0.4216138940801522,0.6872586919121009,0.2633200382424083
GRACE-FO-A,2019-08-31,1.7307482751211486e-07,EDR,135.0,0.9484164482590154,0.3056771052502207,0.0676958675413097
GRACE-FO-A,2019-08-31,1.7307482751211486e-07,POD,135.0,0.941423541282672,0.2762058729881702,0.06478746789511657
GRACE-FO-A,2020-09-24,1.1779009295319045e-07,EDR,240.0,0.207265871392572,0.4177735462553405,0.21368091257181096
GRACE-FO-A,2020-09-24,1.1779009295319045e-07,POD,240.0,0.3293300128143535,0.2929781777851338,0.13594653787359026
GRACE-FO-A,2021-03-01,8.161112931330665e-08,EDR,180.0,0.2043573761001123,0.3153616515574756,0.19983341532761667
GRACE-FO-A,2021-03-01,8.161112931330665e-08,POD,100.0,0.3940788924250363,0.5536196573238483,0.3293393890396228
GRACE-FO-A,2021-03-20,1.0606852621527298e-07,EDR,240.0,0.2166191101504852,0.5995612683931433,0.37577592242915414
GRACE-FO-A,2021-03-20,1.0606852621527298e-07,POD,240.0,0.2233865801831059,0.5375026962062561,0.31494303060518963
GRACE-FO-A,2021-05-12,1.2435466647279284e-07,EDR,240.0,0.3195970035591248,0.337679685895047,0.1633879809411137
GRACE-FO-A,2021-05-12,1.2435466647279284e-07,POD,240.0,0.2282352536727496,0.3596612699141766,0.1659096257471532
GRACE-FO-A,2021-10-12,1.1380284616547073e-07,EDR,45.0,0.6102838809101759,0.7502045978615373,0.2739348079001972
GRACE-FO-A,2021-10-12,1.1380284616547073e-07,POD,45.0,0.7097593134697103,0.7164049758271207,0.24823272333179922
GRACE-FO-A,2021-11-03,8.015492033881936e-07,EDR,45.0,0.6841569713791001,0.8061398629363558,0.4195503829059944
GRACE-FO-A,2021-11-03,8.015492033881936e-07,POD,45.0,0.6385896560655575,0.800786779074072,0.425354130704498
GRACE-FO-A,2021-11-04,8.015492033881936e-07,EDR,45.0,0.6841569713791001,0.8061398629363558,0.4195503829059944
GRACE-FO-A,2021-11-04,8.015492033881936e-07,POD,45.0,0.6385896560655575,0.800786779074072,0.425354130704498
GRACE-FO-A,2022-01-14,1.168528137554699e-07,EDR,240.0,0.0704970119657521,0.6759110117350715,0.5180044433194622
GRACE-FO-A,2022-01-14,1.168528137554699e-07,POD,240.0,0.100491352656265,0.6670101713832259,0.5014018366557256
GRACE-FO-A,2022-03-13,1.1697891043534125e-07,EDR,45.0,0.2549514822647492,0.8566462956300923,0.42275215642975245
GRACE-FO-A,2022-03-13,1.1697891043534125e-07,POD,30.0,0.5191558448986706,0.8732485686451498,0.4238465846698311
GRACE-FO-A,2022-04-10,1.2278040384696444e-07,EDR,45.0,0.2314936390221324,0.7945821361187793,0.39047796178211946
GRACE-FO-A,2022-04-10,1.2278040384696444e-07,POD,45.0,0.2399641318575404,0.8005346376508893,0.4041330163514608
GRACE-FO-A,2022-08-07,1.0504083509985236e-07,EDR,45.0,0.241483688269558,0.881818897737941,0.36828714841232824
GRACE-FO-A,2022-08-07,1.0504083509985236e-07,POD,45.0,0.2682206093432833,0.8821960548488206,0.3812186611835711
GRACE-FO-A,2022-08-17,1.2658778841522221e-07,EDR,45.0,0.3275288884135298,0.8518934621865396,0.24446917147155192
GRACE-FO-A,2022-08-17,1.2658778841522221e-07,POD,45.0,0.2784934420828498,0.844701695641025,0.24069211381550162
GRACE-FO-A,2023-02-27,2.256956340916527e-07,EDR,30.0,0.2716393795345022,0.8994063303088801,0.5189931231339028
GRACE-FO-A,2023-02-27,2.256956340916527e-07,POD,30.0,0.2444640776126859,0.912120432561742,0.5216107588431056
GRACE-FO-A,2023-03-23,2.569826736922731e-07,EDR,45.0,0.1040714332312304,0.8989390345584087,0.5407309622776911
GRACE-FO-A,2023-03-23,2.569826736922731e-07,POD,45.0,0.108450553655654,0.9017836028802378,0.5405067013376228
GRACE-FO-A,2023-03-24,2.569826736922731e-07,EDR,45.0,0.1040714332312304,0.8989390345584087,0.5407309622776911
GRACE-FO-A,2023-03-24,2.569826736922731e-07,POD,45.0,0.108450553655654,0.9017836028802378,0.5405067013376228
GRACE-FO-A,2023-04-23,1.7432775413520102e-07,EDR,240.0,0.0364083217442627,0.8787384894687104,0.8533136294650406
GRACE-FO-A,2023-04-23,1.7432775413520102e-07,POD,240.0,0.0476507503223969,0.8722633252386225,0.8467320136572359
GRACE-FO-A,2023-11-05,2.473101287754826e-07,EDR,45.0,0.0961162320635742,0.8701965952237879,0.8060354044204985
GRACE-FO-A,2023-11-05,2.473101287754826e-07,POD,45.0,0.1143221888370781,0.858812175234022,0.8062005212758504
GRACE-FO-A,2023-12-01,2.305913456582895e-07,EDR,45.0,0.1142729756233146,0.8790988953974744,0.6696118499865257
GRACE-FO-A,2023-12-01,2.305913456582895e-07,POD,45.0,0.1515783207338623,0.8880056054246568,0.6523660269253594
GRACE-FO-A,2024-03-24,2.519505212185544e-07,EDR,45.0,0.0596921395575098,0.857960158433204,0.7166433799275039
GRACE-FO-A,2024-03-24,2.519505212185544e-07,POD,45.0,0.0631784766978369,0.8555888995756563,0.7187568773925461
GRACE-FO-A,2024-04-19,3.135302772480089e-07,EDR,45.0,0.0415685308146078,0.8834816488904773,0.5971269775463871
GRACE-FO-A,2024-04-19,3.135302772480089e-07,POD,30.0,0.1253777768708218,0.8903122479279991,0.5998088624532473
GRACE-FO-A,2024-08-12,4.110032787609734e-07,EDR,30.0,0.2200137945155476,0.9271376387445684,0.6402261383113275
GRACE-FO-A,2024-08-12,4.110032787609734e-07,POD,30.0,0.1935166865525741,0.9339826374393932,0.64004139675849
GRACE-FO-A,2024-09-12,3.49150369168577e-07,EDR,45.0,0.0480821094980168,0.8867163333829232,0.6924197207340463
GRACE-FO-A,2024-09-12,3.49150369168577e-07,POD,45.0,0.0582149948287792,0.8782830166034107,0.692877793174842
GRACE-FO-A,2024-09-17,2.713642009509719e-07,EDR,45.0,0.0654628107064041,0.8743709797936198,0.349301477355307
GRACE-FO-A,2024-09-17,2.713642009509719e-07,POD,45.0,0.1084657893511034,0.8551191688272659,0.3364316370386395
GRACE-FO-A,2024-10-11,3.9433079102642713e-07,EDR,45.0,0.14477636959846,0.8717700257992682,0.7222568586573921
GRACE-FO-A,2024-10-11,3.9433079102642713e-07,POD,30.0,0.2899029692672181,0.8200785468181877,0.6997535222122726
GRACE-FO-A,2025-01-01,4.1553068056070563e-07,EDR,30.0,0.221847338538283,0.9069544569732318,0.6108132171056567
GRACE-FO-A,2025-01-01,4.1553068056070563e-07,POD,30.0,0.2367735527956906,0.9074208859061036,0.6082038379032789
GRACE-FO-A,2025-04-16,3.054111104893931e-07,EDR,45.0,0.061748481810456,0.9133036127998868,0.4208722245403542
GRACE-FO-A,2025-04-16,3.054111104893931e-07,POD,30.0,0.429688031681157,0.8299240059530711,0.3327142047681125
GRACE-FO-A,2025-06-01,2.2920980220982618e-07,EDR,45.0,0.1062940813808602,0.9007548693361216,0.5755144230737705
GRACE-FO-A,2025-06-01,2.2920980220982618e-07,POD,30.0,0.6237935196665948,0.7895919739157916,0.48766964059169177
